#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery
http://data.flightstream.io/sg/0004/DSC01038.JPG,http://data.flightstream.io/sg/0004/tn/DSC01038.JPG,1.342742,103.731852,23.28,0.14,3.45,-145.81,10,100%
http://data.flightstream.io/sg/0004/DSC01039.JPG,http://data.flightstream.io/sg/0004/tn/DSC01039.JPG,1.342525,103.732324,85.6,-4.39,-3.84,-134.89,10,100%
http://data.flightstream.io/sg/0004/DSC01040.JPG,http://data.flightstream.io/sg/0004/tn/DSC01040.JPG,1.342426,103.732269,85.17,-0.46,0.92,-138.27,9,99%
http://data.flightstream.io/sg/0004/DSC01041.JPG,http://data.flightstream.io/sg/0004/tn/DSC01041.JPG,1.342306,103.732184,85.3,-0.47,-6.5,-138.75,10,99%
http://data.flightstream.io/sg/0004/DSC01042.JPG,http://data.flightstream.io/sg/0004/tn/DSC01042.JPG,1.342173,103.7321,85.39,0.9,-5.1,-139.14,10,99%
http://data.flightstream.io/sg/0004/DSC01043.JPG,http://data.flightstream.io/sg/0004/tn/DSC01043.JPG,1.34206,103.732021,85.19,2.27,-4.02,-138.31,10,99%
http://data.flightstream.io/sg/0004/DSC01044.JPG,http://data.flightstream.io/sg/0004/tn/DSC01044.JPG,1.341943,103.731934,84.7,1.58,-6.19,-138.84,10,98%
http://data.flightstream.io/sg/0004/DSC01045.JPG,http://data.flightstream.io/sg/0004/tn/DSC01045.JPG,1.341819,103.731843,84.47,1.52,-4.62,-138.77,10,98%
http://data.flightstream.io/sg/0004/DSC01046.JPG,http://data.flightstream.io/sg/0004/tn/DSC01046.JPG,1.341698,103.731749,83.86,1.98,-5.18,-138.72,10,98%
http://data.flightstream.io/sg/0004/DSC01047.JPG,http://data.flightstream.io/sg/0004/tn/DSC01047.JPG,1.341575,103.731653,83.59,1.12,-5.13,-138.73,10,97%
http://data.flightstream.io/sg/0004/DSC01048.JPG,http://data.flightstream.io/sg/0004/tn/DSC01048.JPG,1.341456,103.731563,82.97,1.76,-5.37,-138.45,10,97%
http://data.flightstream.io/sg/0004/DSC01049.JPG,http://data.flightstream.io/sg/0004/tn/DSC01049.JPG,1.341331,103.731471,82.34,1.82,-4.55,-137.59,10,97%
http://data.flightstream.io/sg/0004/DSC01050.JPG,http://data.flightstream.io/sg/0004/tn/DSC01050.JPG,1.341211,103.731377,82.18,1.89,-3.93,-137.91,10,96%
