#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery
http://data.flightstream.io/eu/0003/IMG_1146.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1146.JPG,6.54326,46.656116,784.961517,,,,10,100%
http://data.flightstream.io/eu/0003/IMG_1147.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1147.JPG,6.542384,46.656033,780.934028,,,,10,97%
http://data.flightstream.io/eu/0003/IMG_1148.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1148.JPG,6.541558,46.656094,781.79288,,,,9,97%
http://data.flightstream.io/eu/0003/IMG_1149.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1149.JPG,6.540702,46.656087,780.950989,,,,10,96%
http://data.flightstream.io/eu/0003/IMG_1150.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1150.JPG,6.539834,46.656139,780.770992,,,,10,96%
http://data.flightstream.io/eu/0003/IMG_1151.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1151.JPG,6.538983,46.656179,779.70202,,,,10,96%
http://data.flightstream.io/eu/0003/IMG_1152.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1152.JPG,6.538138,46.656206,781.091003,,,,10,96%
http://data.flightstream.io/eu/0003/IMG_1153.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1153.JPG,6.537293,46.656241,781.45398,,,,10,97%
http://data.flightstream.io/eu/0003/IMG_1154.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1154.JPG,6.536411,46.656279,780.825991,,,,10,95%
http://data.flightstream.io/eu/0003/IMG_1155.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1155.JPG,6.535549,46.65633,778.80102,,,,10,95%
http://data.flightstream.io/eu/0003/IMG_1156.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1156.JPG,6.534692,46.656345,781.802,,,,10,95%
http://data.flightstream.io/eu/0003/IMG_1157.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1157.JPG,6.534268,46.656033,778.927978,,,,10,95%
http://data.flightstream.io/eu/0003/IMG_1158.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1158.JPG,6.535106,46.656033,780.369021,,,,10,95%
http://data.flightstream.io/eu/0003/IMG_1159.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1159.JPG,6.53598,46.65599,777.807007,,,,10,95%
http://data.flightstream.io/eu/0003/IMG_1160.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1160.JPG,6.536768,46.656008,777.117005,,,,10,94%
http://data.flightstream.io/eu/0003/IMG_1161.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1161.JPG,6.537598,46.655991,779.062992,,,,10,94%
http://data.flightstream.io/eu/0003/IMG_1162.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1162.JPG,6.538415,46.655952,775.968992,,,,10,93%
http://data.flightstream.io/eu/0003/IMG_1163.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1163.JPG,6.539224,46.655926,777.289003,,,,10,93%
http://data.flightstream.io/eu/0003/IMG_1164.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1164.JPG,6.540092,46.655904,778.750973,,,,10,93%
http://data.flightstream.io/eu/0003/IMG_1165.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1165.JPG,6.540953,46.655872,776.608,,,,9,93%
http://data.flightstream.io/eu/0003/IMG_1166.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1166.JPG,6.541788,46.655837,777.226994,,,,10,91%
http://data.flightstream.io/eu/0003/IMG_1167.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1167.JPG,6.542639,46.65579,777.961003,,,,10,91%
http://data.flightstream.io/eu/0003/IMG_1168.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1168.JPG,6.543455,46.655802,776.210999,,,,10,91%
http://data.flightstream.io/eu/0003/IMG_1169.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1169.JPG,6.543701,46.655348,773.70398,,,,10,90%
http://data.flightstream.io/eu/0003/IMG_1170.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1170.JPG,6.542906,46.655469,781.573975,,,,10,90%
http://data.flightstream.io/eu/0003/IMG_1171.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1171.JPG,6.542049,46.655436,778.044983,,,,9,90%
http://data.flightstream.io/eu/0003/IMG_1172.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1172.JPG,6.541231,46.655475,781.742981,,,,10,90%
http://data.flightstream.io/eu/0003/IMG_1173.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1173.JPG,6.540374,46.655525,779.328,,,,10,90%
http://data.flightstream.io/eu/0003/IMG_1174.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1174.JPG,6.539508,46.655561,781.098999,,,,10,90%
http://data.flightstream.io/eu/0003/IMG_1175.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1175.JPG,6.53865,46.655597,775.864989,,,,10,89%
http://data.flightstream.io/eu/0003/IMG_1176.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1176.JPG,6.537807,46.65564,779.575988,,,,10,89%
http://data.flightstream.io/eu/0003/IMG_1177.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1177.JPG,6.536963,46.655692,777.361022,,,,9,89%
http://data.flightstream.io/eu/0003/IMG_1178.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1178.JPG,6.536125,46.655732,777.021978,,,,10,89%
http://data.flightstream.io/eu/0003/IMG_1179.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1179.JPG,6.53526,46.655791,780.362,,,,10,89%
http://data.flightstream.io/eu/0003/IMG_1180.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1180.JPG,6.534415,46.655795,779.612519,,,,10,89%
http://data.flightstream.io/eu/0003/IMG_1181.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1181.JPG,6.533577,46.655876,779.304015,,,,10,88%
http://data.flightstream.io/eu/0003/IMG_1182.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1182.JPG,6.533314,46.655523,775.784,,,,10,88%
http://data.flightstream.io/eu/0003/IMG_1183.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1183.JPG,6.534156,46.65545,782.549988,,,,9,88%
http://data.flightstream.io/eu/0003/IMG_1184.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1184.JPG,6.535018,46.655488,778.987,,,,10,87%
http://data.flightstream.io/eu/0003/IMG_1185.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1185.JPG,6.535827,46.655418,773.617005,,,,10,87%
http://data.flightstream.io/eu/0003/IMG_1186.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1186.JPG,6.536682,46.65541,776.609984,,,,10,87%
http://data.flightstream.io/eu/0003/IMG_1187.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1187.JPG,6.537529,46.655368,777.075988,,,,10,86%
http://data.flightstream.io/eu/0003/IMG_1188.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1188.JPG,6.538377,46.655344,775.73102,,,,10,86%
http://data.flightstream.io/eu/0003/IMG_1189.JPG,http://data.flightstream.io/eu/0003/tn/IMG_1189.JPG,6.539206,46.6553,776.294985,,,,9,86%
