#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery
http://data.flightstream.io/eu/0002/IMG_0427.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0427.JPG,6.681934,46.552066,885.755,,,,10,100%
http://data.flightstream.io/eu/0002/IMG_0428.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0428.JPG,6.68417,46.553157,980.296992,,,,10,97%
http://data.flightstream.io/eu/0002/IMG_0429.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0429.JPG,6.683628,46.552956,981.159973,,,,9,97%
http://data.flightstream.io/eu/0002/IMG_0430.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0430.JPG,6.683143,46.552739,981.235507,,,,10,96%
http://data.flightstream.io/eu/0002/IMG_0431.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0431.JPG,6.682689,46.552469,981.107407,,,,10,96%
http://data.flightstream.io/eu/0002/IMG_0432.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0432.JPG,6.682231,46.552239,979.568966,,,,10,96%
http://data.flightstream.io/eu/0002/IMG_0433.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0433.JPG,6.681744,46.552036,978.836028,,,,10,96%
http://data.flightstream.io/eu/0002/IMG_0434.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0434.JPG,6.681284,46.551827,976.153982,,,,10,97%
http://data.flightstream.io/eu/0002/IMG_0435.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0435.JPG,6.68088,46.551578,977.833992,,,,10,95%
http://data.flightstream.io/eu/0002/IMG_0440.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0440.JPG,6.679628,46.55118,977.862338,,,,10,95%
http://data.flightstream.io/eu/0002/IMG_0441.JPG,http://data.flightstream.io/eu/0002/tn/IMG_0441.JPG,6.679053,46.550998,977.875346,,,,10,95%
