#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery
http://data.flightstream.io/sg/0003/P8290003.jpg,http://data.flightstream.io/sg/0003/tn/P8290003.jpg,5.420793,100.264426,788.32,-4.23,-2.37,-96.43,10,100%
http://data.flightstream.io/sg/0003/P8290004.jpg,http://data.flightstream.io/sg/0003/tn/P8290004.jpg,5.420787,100.264385,788.55,-1.06,-0.68,-89.67,10,100%
http://data.flightstream.io/sg/0003/P8290005.jpg,http://data.flightstream.io/sg/0003/tn/P8290005.jpg,5.420789,100.264363,788.64,-2.09,-2.72,-89.39,9,99%
http://data.flightstream.io/sg/0003/P8290006.jpg,http://data.flightstream.io/sg/0003/tn/P8290006.jpg,5.420793,100.264348,788.65,-3.06,-3.47,-88.49,10,99%
http://data.flightstream.io/sg/0003/P8290007.jpg,http://data.flightstream.io/sg/0003/tn/P8290007.jpg,5.420798,100.264328,788.65,-3.22,-3.01,-89.23,10,99%
http://data.flightstream.io/sg/0003/P8290008.jpg,http://data.flightstream.io/sg/0003/tn/P8290008.jpg,5.420803,100.264312,788.62,-3.38,-4.34,-88.89,10,99%
http://data.flightstream.io/sg/0003/P8290009.jpg,http://data.flightstream.io/sg/0003/tn/P8290009.jpg,5.42081,100.264296,788.48,-4.62,-4.73,-89.37,10,98%
http://data.flightstream.io/sg/0003/P8290010.jpg,http://data.flightstream.io/sg/0003/tn/P8290010.jpg,5.420816,100.264282,788.37,-4.87,-5.2,-89.39,10,98%
http://data.flightstream.io/sg/0003/P8290011.jpg,http://data.flightstream.io/sg/0003/tn/P8290011.jpg,5.420819,100.264258,788.6,-2.88,-3.89,-88.89,10,98%
http://data.flightstream.io/sg/0003/P8290012.jpg,http://data.flightstream.io/sg/0003/tn/P8290012.jpg,5.42082,100.264229,788.76,-2.39,-1.88,-88.01,10,97%
http://data.flightstream.io/sg/0003/P8290013.jpg,http://data.flightstream.io/sg/0003/tn/P8290013.jpg,5.420821,100.264205,788.77,-1.67,-2.06,-88.52,10,97%
http://data.flightstream.io/sg/0003/P8290014.jpg,http://data.flightstream.io/sg/0003/tn/P8290014.jpg,5.420823,100.264184,788.82,-2.03,-2.72,-88.53,10,97%
http://data.flightstream.io/sg/0003/P8290015.jpg,http://data.flightstream.io/sg/0003/tn/P8290015.jpg,5.420827,100.26416,788.91,-2.06,-3.78,-88.26,10,96%
