#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Roll,Pitch,Yaw,FligthSpeed,Battery
http://data.flightstream.io/sg/0001/P7170016.jpg,http://data.flightstream.io/sg/0001/tn/P7170016.jpg,1.349003,103.859862,25.13,-6.08,0.21,175.67,10,100%
http://data.flightstream.io/sg/0001/P7170017.jpg,http://data.flightstream.io/sg/0001/tn/P7170017.jpg,1.348996,103.859867,25.04,-2.29,-7.09,175.23,10,95%
http://data.flightstream.io/sg/0001/P7170018.jpg,http://data.flightstream.io/sg/0001/tn/P7170018.jpg,1.348943,103.859873,24.97,-3.81,0.3,175.63,10,94%
http://data.flightstream.io/sg/0001/P7170019.jpg,http://data.flightstream.io/sg/0001/tn/P7170019.jpg,1.348889,103.85988,24.92,-1.41,-3.64,175.58,11,94%
http://data.flightstream.io/sg/0001/P7170020.jpg,http://data.flightstream.io/sg/0001/tn/P7170020.jpg,1.348838,103.859875,24.84,-4.88,-4.35,175.65,9,93%
http://data.flightstream.io/sg/0001/P7170021.jpg,http://data.flightstream.io/sg/0001/tn/P7170021.jpg,1.348778,103.859875,25.12,-1.84,-4.39,175.68,9,93%
http://data.flightstream.io/sg/0001/P7170022.jpg,http://data.flightstream.io/sg/0001/tn/P7170022.jpg,1.348714,103.859878,25.06,-1.63,-3.75,176.62,10,92%
http://data.flightstream.io/sg/0001/P7170023.jpg,http://data.flightstream.io/sg/0001/tn/P7170023.jpg,1.348653,103.859878,25.22,-2.06,-3.06,174.92,10,90%
http://data.flightstream.io/sg/0001/P7170024.jpg,http://data.flightstream.io/sg/0001/tn/P7170024.jpg,1.348594,103.859877,25.29,-1.57,-5.75,174.79,11,89%
http://data.flightstream.io/sg/0001/P7170025.jpg,http://data.flightstream.io/sg/0001/tn/P7170025.jpg,1.348541,103.859877,25.01,-0.97,-5.76,174.23,12,89%
http://data.flightstream.io/sg/0001/P7170026.jpg,http://data.flightstream.io/sg/0001/tn/P7170026.jpg,1.348475,103.85987,25.22,-2.7,-5.67,174.31,10,89%
http://data.flightstream.io/sg/0001/P7170027.jpg,http://data.flightstream.io/sg/0001/tn/P7170027.jpg,1.348406,103.859861,25.08,-3.62,-3.93,175.13,11,88%
http://data.flightstream.io/sg/0001/P7170028.jpg,http://data.flightstream.io/sg/0001/tn/P7170028.jpg,1.348351,103.859861,24.92,-1.57,-6.22,174.04,11,87%
http://data.flightstream.io/sg/0001/P7170029.jpg,http://data.flightstream.io/sg/0001/tn/P7170029.jpg,1.34829,103.859862,25.64,-1.92,-6.93,175.29,11,87%
http://data.flightstream.io/sg/0001/P7170030.jpg,http://data.flightstream.io/sg/0001/tn/P7170030.jpg,1.348235,103.859853,25.39,-3.56,-7.66,174.6,9,87%
http://data.flightstream.io/sg/0001/P7170031.jpg,http://data.flightstream.io/sg/0001/tn/P7170031.jpg,1.348171,103.859849,25.55,-2.66,-7.37,173.94,9,87%
http://data.flightstream.io/sg/0001/P7170032.jpg,http://data.flightstream.io/sg/0001/tn/P7170032.jpg,1.348112,103.859849,25.69,-1.93,-7.73,174.89,9,87%
http://data.flightstream.io/sg/0001/P7170033.jpg,http://data.flightstream.io/sg/0001/tn/P7170033.jpg,1.348049,103.859845,25.53,-2.86,-7.89,174.16,9,87%
http://data.flightstream.io/sg/0001/P7170034.jpg,http://data.flightstream.io/sg/0001/tn/P7170034.jpg,1.347983,103.859841,25.5,-2.72,-7.44,173.92,9,87%
http://data.flightstream.io/sg/0001/P7170035.jpg,http://data.flightstream.io/sg/0001/tn/P7170035.jpg,1.347919,103.859839,25.46,-2.88,-5.06,174.88,10,87%
http://data.flightstream.io/sg/0001/P7170036.jpg,http://data.flightstream.io/sg/0001/tn/P7170036.jpg,1.347854,103.859846,25.58,-0.13,4.74,176.33,10,87%
http://data.flightstream.io/sg/0001/P7170037.jpg,http://data.flightstream.io/sg/0001/tn/P7170037.jpg,1.347839,103.859843,24.33,-2.04,-2.62,175.46,10,86%
http://data.flightstream.io/sg/0001/P7170038.jpg,http://data.flightstream.io/sg/0001/tn/P7170038.jpg,1.347836,103.859821,24.98,4.53,-1.47,176.48,10,86%
http://data.flightstream.io/sg/0001/P7170039.jpg,http://data.flightstream.io/sg/0001/tn/P7170039.jpg,1.347841,103.859764,24.8,-11.19,-4.1,175.69,10,86%
http://data.flightstream.io/sg/0001/P7170040.jpg,http://data.flightstream.io/sg/0001/tn/P7170040.jpg,1.347844,103.859751,25.25,-4.4,-4.65,174.83,10,86%
http://data.flightstream.io/sg/0001/P7170041.jpg,http://data.flightstream.io/sg/0001/tn/P7170041.jpg,1.34784,103.859764,25.09,-2.04,-4.34,174.84,10,86%
http://data.flightstream.io/sg/0001/P7170042.jpg,http://data.flightstream.io/sg/0001/tn/P7170042.jpg,1.347838,103.859768,25.44,-4.02,2.09,174.79,10,86%
http://data.flightstream.io/sg/0001/P7170043.jpg,http://data.flightstream.io/sg/0001/tn/P7170043.jpg,1.347879,103.859767,25.1,-4.34,-1.43,175.05,10,86%
http://data.flightstream.io/sg/0001/P7170044.jpg,http://data.flightstream.io/sg/0001/tn/P7170044.jpg,1.347947,103.859765,24.77,-4.95,-2.43,174.68,10,86%
http://data.flightstream.io/sg/0001/P7170045.jpg,http://data.flightstream.io/sg/0001/tn/P7170045.jpg,1.347998,103.859768,24.94,-4.05,0.11,172.92,10,85%
http://data.flightstream.io/sg/0001/P7170046.jpg,http://data.flightstream.io/sg/0001/tn/P7170046.jpg,1.348054,103.859775,24.8,-3.5,0.97,173.89,10,85%
http://data.flightstream.io/sg/0001/P7170047.jpg,http://data.flightstream.io/sg/0001/tn/P7170047.jpg,1.348111,103.859786,25.04,-1.82,1.7,176.58,10,85%
http://data.flightstream.io/sg/0001/P7170048.jpg,http://data.flightstream.io/sg/0001/tn/P7170048.jpg,1.348161,103.859785,24.78,-5.44,3.22,176.91,10,85%
http://data.flightstream.io/sg/0001/P7170049.jpg,http://data.flightstream.io/sg/0001/tn/P7170049.jpg,1.348225,103.859777,24.92,-6.52,1.6,176.68,10,85%
http://data.flightstream.io/sg/0001/P7170050.jpg,http://data.flightstream.io/sg/0001/tn/P7170050.jpg,1.348289,103.859775,24.95,-5.86,0.48,176.37,9,85%
http://data.flightstream.io/sg/0001/P7170051.jpg,http://data.flightstream.io/sg/0001/tn/P7170051.jpg,1.348352,103.85978,25.09,-4.84,1.98,176.2,9,84%
http://data.flightstream.io/sg/0001/P7170052.jpg,http://data.flightstream.io/sg/0001/tn/P7170052.jpg,1.348414,103.859785,24.94,-4.74,2.09,178.3,9,84%
http://data.flightstream.io/sg/0001/P7170053.jpg,http://data.flightstream.io/sg/0001/tn/P7170053.jpg,1.348464,103.859792,25.1,-3.37,4.99,178.62,10,84%
http://data.flightstream.io/sg/0001/P7170054.jpg,http://data.flightstream.io/sg/0001/tn/P7170054.jpg,1.348526,103.859792,25.15,-5.87,2.94,177.52,10,84%
http://data.flightstream.io/sg/0001/P7170055.jpg,http://data.flightstream.io/sg/0001/tn/P7170055.jpg,1.3486,103.85979,25.1,-5.53,1.11,177.89,10,84%
http://data.flightstream.io/sg/0001/P7170056.jpg,http://data.flightstream.io/sg/0001/tn/P7170056.jpg,1.348662,103.859797,25.2,-4.11,1.8,178.35,10,84%
http://data.flightstream.io/sg/0001/P7170057.jpg,http://data.flightstream.io/sg/0001/tn/P7170057.jpg,1.348724,103.859806,24.95,-3.38,3.13,176.93,10,84%
http://data.flightstream.io/sg/0001/P7170058.jpg,http://data.flightstream.io/sg/0001/tn/P7170058.jpg,1.348783,103.859814,25.21,-2.98,1.92,175.25,10,83%
http://data.flightstream.io/sg/0001/P7170059.jpg,http://data.flightstream.io/sg/0001/tn/P7170059.jpg,1.348842,103.859821,25.16,-3.37,3.74,175.88,10,83%
http://data.flightstream.io/sg/0001/P7170060.jpg,http://data.flightstream.io/sg/0001/tn/P7170060.jpg,1.348901,103.859828,25.11,-3.31,3.79,175.93,10,83%
http://data.flightstream.io/sg/0001/P7170061.jpg,http://data.flightstream.io/sg/0001/tn/P7170061.jpg,1.34896,103.85983,25.07,-3.58,3.28,175.82,9,83%
http://data.flightstream.io/sg/0001/P7170062.jpg,http://data.flightstream.io/sg/0001/tn/P7170062.jpg,1.349024,103.859833,25.05,-3.26,4,174.56,10,83%
http://data.flightstream.io/sg/0001/P7170063.jpg,http://data.flightstream.io/sg/0001/tn/P7170063.jpg,1.349084,103.859832,24.97,-3.41,-5.85,175.86,10,83%
http://data.flightstream.io/sg/0001/P7170064.jpg,http://data.flightstream.io/sg/0001/tn/P7170064.jpg,1.349098,103.859833,24.99,-2.95,1.81,174.47,10,83%
http://data.flightstream.io/sg/0001/P7170065.jpg,http://data.flightstream.io/sg/0001/tn/P7170065.jpg,1.349096,103.859829,24.87,-4.07,3.72,175.84,10,82%
http://data.flightstream.io/sg/0001/P7170066.jpg,http://data.flightstream.io/sg/0001/tn/P7170066.jpg,1.34911,103.859824,25.13,-2.68,3.21,175.87,10,82%
http://data.flightstream.io/sg/0001/P7170067.jpg,http://data.flightstream.io/sg/0001/tn/P7170067.jpg,1.34914,103.859814,25,0.64,5.91,174.91,10,82%
http://data.flightstream.io/sg/0001/P7170068.jpg,http://data.flightstream.io/sg/0001/tn/P7170068.jpg,1.349195,103.859778,25.03,-4.01,-0.04,175.07,10,82%
http://data.flightstream.io/sg/0001/P7170069.jpg,http://data.flightstream.io/sg/0001/tn/P7170069.jpg,1.349241,103.859739,24.95,-7.66,-3.15,179.46,10,82%
http://data.flightstream.io/sg/0001/P7170070.jpg,http://data.flightstream.io/sg/0001/tn/P7170070.jpg,1.349237,103.859739,25.08,-1.53,-1.28,174.12,10,81%
http://data.flightstream.io/sg/0001/P7170071.jpg,http://data.flightstream.io/sg/0001/tn/P7170071.jpg,1.349195,103.85974,24.88,-3.3,-1.11,175.71,10,81%
http://data.flightstream.io/sg/0001/P7170072.jpg,http://data.flightstream.io/sg/0001/tn/P7170072.jpg,1.349132,103.859739,25.19,-2.64,-0.44,177.22,11,80%
http://data.flightstream.io/sg/0001/P7170073.jpg,http://data.flightstream.io/sg/0001/tn/P7170073.jpg,1.34908,103.859739,25.2,-2.65,-2.52,176.79,11,80%
http://data.flightstream.io/sg/0001/P7170074.jpg,http://data.flightstream.io/sg/0001/tn/P7170074.jpg,1.34902,103.859737,25.19,-2.98,-2.6,176.13,9,80%
http://data.flightstream.io/sg/0001/P7170075.jpg,http://data.flightstream.io/sg/0001/tn/P7170075.jpg,1.348956,103.859736,25.04,-2.79,-2.2,175.44,10,79%
http://data.flightstream.io/sg/0001/P7170076.jpg,http://data.flightstream.io/sg/0001/tn/P7170076.jpg,1.348901,103.859735,25.15,-2.65,-3.35,175.91,9,79%
http://data.flightstream.io/sg/0001/P7170077.jpg,http://data.flightstream.io/sg/0001/tn/P7170077.jpg,1.348838,103.859732,25.26,-2.78,-3.16,175.28,10,79%
http://data.flightstream.io/sg/0001/P7170078.jpg,http://data.flightstream.io/sg/0001/tn/P7170078.jpg,1.348774,103.859734,24.99,-1.72,-3.07,174.55,10,79%
http://data.flightstream.io/sg/0001/P7170079.jpg,http://data.flightstream.io/sg/0001/tn/P7170079.jpg,1.348715,103.859734,25.35,-1.83,-3.73,174.85,10,79%
http://data.flightstream.io/sg/0001/P7170080.jpg,http://data.flightstream.io/sg/0001/tn/P7170080.jpg,1.348653,103.859728,25.19,-2.71,-5.07,175.21,10,78%
http://data.flightstream.io/sg/0001/P7170081.jpg,http://data.flightstream.io/sg/0001/tn/P7170081.jpg,1.348596,103.85972,25.4,-4,-5.34,175.12,10,78%
http://data.flightstream.io/sg/0001/P7170082.jpg,http://data.flightstream.io/sg/0001/tn/P7170082.jpg,1.348536,103.859721,25.65,-1.51,-5.41,175.17,10,78%
http://data.flightstream.io/sg/0001/P7170083.jpg,http://data.flightstream.io/sg/0001/tn/P7170083.jpg,1.348475,103.859726,25.43,-0.28,-5.52,174.95,10,78%
http://data.flightstream.io/sg/0001/P7170084.jpg,http://data.flightstream.io/sg/0001/tn/P7170084.jpg,1.348415,103.859725,25.24,-1.34,-5.11,174.85,10,77%
http://data.flightstream.io/sg/0001/P7170085.jpg,http://data.flightstream.io/sg/0001/tn/P7170085.jpg,1.348346,103.85972,25.36,-2.51,-3.66,174.16,10,77%
http://data.flightstream.io/sg/0001/P7170086.jpg,http://data.flightstream.io/sg/0001/tn/P7170086.jpg,1.348289,103.859719,24.96,-0.91,-5.97,174.48,10,77%
http://data.flightstream.io/sg/0001/P7170087.jpg,http://data.flightstream.io/sg/0001/tn/P7170087.jpg,1.348224,103.859722,25.03,-0.17,-4.55,174.24,10,77%
http://data.flightstream.io/sg/0001/P7170088.jpg,http://data.flightstream.io/sg/0001/tn/P7170088.jpg,1.348156,103.859723,25.28,-0.42,-3.92,175.11,10,76%
http://data.flightstream.io/sg/0001/P7170089.jpg,http://data.flightstream.io/sg/0001/tn/P7170089.jpg,1.348095,103.859722,25.02,-0.95,-3.59,174.43,10,76%
http://data.flightstream.io/sg/0001/P7170090.jpg,http://data.flightstream.io/sg/0001/tn/P7170090.jpg,1.348026,103.859719,24.75,-0.95,-2.82,174.14,10,76%
http://data.flightstream.io/sg/0001/P7170091.jpg,http://data.flightstream.io/sg/0001/tn/P7170091.jpg,1.347966,103.859716,25.04,-0.71,-3.7,174.51,10,76%
http://data.flightstream.io/sg/0001/P7170092.jpg,http://data.flightstream.io/sg/0001/tn/P7170092.jpg,1.347906,103.859709,24.66,-2.44,-5.28,174.98,9,75%
http://data.flightstream.io/sg/0001/P7170093.jpg,http://data.flightstream.io/sg/0001/tn/P7170093.jpg,1.347858,103.859697,24.9,-4.51,1.94,175.13,9,75%
http://data.flightstream.io/sg/0001/P7170094.jpg,http://data.flightstream.io/sg/0001/tn/P7170094.jpg,1.347859,103.859694,25.05,-1.72,-4.93,176.39,9,74%
http://data.flightstream.io/sg/0001/P7170095.jpg,http://data.flightstream.io/sg/0001/tn/P7170095.jpg,1.347855,103.859693,25.09,-2.27,-4.51,175.27,9,74%
http://data.flightstream.io/sg/0001/P7170096.jpg,http://data.flightstream.io/sg/0001/tn/P7170096.jpg,1.347838,103.859693,24.98,-0.09,-2.2,174.63,10,73%
http://data.flightstream.io/sg/0001/P7170097.jpg,http://data.flightstream.io/sg/0001/tn/P7170097.jpg,1.347823,103.859676,24.86,4.23,1.09,175.51,10,73%
http://data.flightstream.io/sg/0001/P7170098.jpg,http://data.flightstream.io/sg/0001/tn/P7170098.jpg,1.347815,103.859623,25.02,-8.78,-2.24,174.92,10,73%
http://data.flightstream.io/sg/0001/P7170099.jpg,http://data.flightstream.io/sg/0001/tn/P7170099.jpg,1.347811,103.859605,24.94,-4.22,3.82,175.06,10,72%
http://data.flightstream.io/sg/0001/P7170100.jpg,http://data.flightstream.io/sg/0001/tn/P7170100.jpg,1.347841,103.859613,24.87,-1.33,3.92,174.19,10,72%
http://data.flightstream.io/sg/0001/P7170101.jpg,http://data.flightstream.io/sg/0001/tn/P7170101.jpg,1.347914,103.859614,24.99,-2.61,-0.85,176.48,10,72%
