#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery,
http://data.flightstream.io/sg/0002/P3030171.JPG,http://data.flightstream.io/sg/0002/tn/P3030171.JPG,1.400411,103.897072,44.41,0.12,0.41,0.38,2,100%,
http://data.flightstream.io/sg/0002/P3030172.JPG,http://data.flightstream.io/sg/0002/tn/P3030172.JPG,1.400292,103.896999,57.5,19.38,-0.55,1.49,2,95%,
http://data.flightstream.io/sg/0002/P3030173.JPG,http://data.flightstream.io/sg/0002/tn/P3030173.JPG,1.400289,103.896999,56.8,19.25,-0.44,1.56,2,94%,
http://data.flightstream.io/sg/0002/P3030174.JPG,http://data.flightstream.io/sg/0002/tn/P3030174.JPG,1.400286,103.897001,56.06,19.41,-1.02,2.57,3,94%,
http://data.flightstream.io/sg/0002/P3030175.JPG,http://data.flightstream.io/sg/0002/tn/P3030175.JPG,1.400287,103.897001,55.83,19.4,-0.56,1.72,1,93%,
http://data.flightstream.io/sg/0002/P3030176.JPG,http://data.flightstream.io/sg/0002/tn/P3030176.JPG,1.400289,103.897,55.52,19.32,-0.44,1.79,1,93%,
http://data.flightstream.io/sg/0002/P3030177.JPG,http://data.flightstream.io/sg/0002/tn/P3030177.JPG,1.400288,103.897,55.03,19.27,-0.79,2.35,2,92%,
http://data.flightstream.io/sg/0002/P3030178.JPG,http://data.flightstream.io/sg/0002/tn/P3030178.JPG,1.400289,103.896999,53.42,19.23,-0.65,2.14,2,90%,
http://data.flightstream.io/sg/0002/P3030179.JPG,http://data.flightstream.io/sg/0002/tn/P3030179.JPG,1.400289,103.896999,53.17,19.24,-0.78,2.16,3,89%,
http://data.flightstream.io/sg/0002/P3030180.JPG,http://data.flightstream.io/sg/0002/tn/P3030180.JPG,1.400284,103.897003,52.79,19.28,-0.08,2.18,4,89%,
http://data.flightstream.io/sg/0002/P3030181.JPG,http://data.flightstream.io/sg/0002/tn/P3030181.JPG,1.400277,103.897007,52.56,19.25,1.82,2.12,2,89%,
http://data.flightstream.io/sg/0002/P3030182.JPG,http://data.flightstream.io/sg/0002/tn/P3030182.JPG,1.400255,103.897017,52.17,19.35,-0.72,0.34,3,88%,
http://data.flightstream.io/sg/0002/P3030183.JPG,http://data.flightstream.io/sg/0002/tn/P3030183.JPG,1.400242,103.897025,51.82,19.28,1.23,0.58,3,87%,
http://data.flightstream.io/sg/0002/P3030184.JPG,http://data.flightstream.io/sg/0002/tn/P3030184.JPG,1.400239,103.897036,51.6,19.25,2,2.37,3,87%,
http://data.flightstream.io/sg/0002/P3030185.JPG,http://data.flightstream.io/sg/0002/tn/P3030185.JPG,1.400236,103.897055,51.44,19.21,1.45,3.05,1,87%,
http://data.flightstream.io/sg/0002/P3030186.JPG,http://data.flightstream.io/sg/0002/tn/P3030186.JPG,1.400227,103.897075,51.28,19.52,-0.07,2.15,1,87%,
http://data.flightstream.io/sg/0002/P3030187.JPG,http://data.flightstream.io/sg/0002/tn/P3030187.JPG,1.400223,103.89709,51.01,19.46,-0.31,2.76,1,87%,
http://data.flightstream.io/sg/0002/P3030188.JPG,http://data.flightstream.io/sg/0002/tn/P3030188.JPG,1.400182,103.89711,50.35,19.52,0.36,-0.76,1,87%,
http://data.flightstream.io/sg/0002/P3030189.JPG,http://data.flightstream.io/sg/0002/tn/P3030189.JPG,1.400186,103.897116,50.06,19.54,0.83,1.82,1,87%,
http://data.flightstream.io/sg/0002/P3030190.JPG,http://data.flightstream.io/sg/0002/tn/P3030190.JPG,1.400187,103.897123,49.8,19.55,0.25,1.67,2,87%,
http://data.flightstream.io/sg/0002/P3030191.JPG,http://data.flightstream.io/sg/0002/tn/P3030191.JPG,1.400187,103.897129,49.55,19.29,0.32,1.45,2,87%,
http://data.flightstream.io/sg/0002/P3030192.JPG,http://data.flightstream.io/sg/0002/tn/P3030192.JPG,1.400186,103.897136,49.35,19.21,0.6,1.27,2,86%,
http://data.flightstream.io/sg/0002/P3030193.JPG,http://data.flightstream.io/sg/0002/tn/P3030193.JPG,1.400183,103.897144,49.23,19.28,0.76,1.29,2,86%,
http://data.flightstream.io/sg/0002/P3030194.JPG,http://data.flightstream.io/sg/0002/tn/P3030194.JPG,1.40018,103.897154,49.03,19.15,0.28,1.52,2,86%,
http://data.flightstream.io/sg/0002/P3030195.JPG,http://data.flightstream.io/sg/0002/tn/P3030195.JPG,1.400177,103.89716,48.98,19.26,0.18,1.22,2,86%,
http://data.flightstream.io/sg/0002/P3030196.JPG,http://data.flightstream.io/sg/0002/tn/P3030196.JPG,1.400174,103.897172,48.86,19.2,1.04,1.72,2,86%,
http://data.flightstream.io/sg/0002/P3030197.JPG,http://data.flightstream.io/sg/0002/tn/P3030197.JPG,1.400169,103.897186,48.72,19.32,0.63,1.28,2,86%,
http://data.flightstream.io/sg/0002/P3030198.JPG,http://data.flightstream.io/sg/0002/tn/P3030198.JPG,1.400165,103.897196,48.51,19.22,1.89,1.78,2,86%,
http://data.flightstream.io/sg/0002/P3030199.JPG,http://data.flightstream.io/sg/0002/tn/P3030199.JPG,1.400162,103.897208,48.45,19.37,1.06,1.48,2,86%,
http://data.flightstream.io/sg/0002/P3030200.JPG,http://data.flightstream.io/sg/0002/tn/P3030200.JPG,1.40016,103.897217,48.31,19.4,1.9,1.57,2,85%,
http://data.flightstream.io/sg/0002/P3030201.JPG,http://data.flightstream.io/sg/0002/tn/P3030201.JPG,1.400162,103.897225,48,19.1,2.38,2.67,2,85%,
http://data.flightstream.io/sg/0002/P3030202.JPG,http://data.flightstream.io/sg/0002/tn/P3030202.JPG,1.400164,103.897237,47.92,19.14,2.6,3.59,2,85%,
http://data.flightstream.io/sg/0002/P3030203.JPG,http://data.flightstream.io/sg/0002/tn/P3030203.JPG,1.400163,103.89725,47.87,19.35,1.51,2.74,2,85%,
http://data.flightstream.io/sg/0002/P3030204.JPG,http://data.flightstream.io/sg/0002/tn/P3030204.JPG,1.400163,103.89726,47.64,19.17,2.24,3.06,2,85%,
http://data.flightstream.io/sg/0002/P3030205.JPG,http://data.flightstream.io/sg/0002/tn/P3030205.JPG,1.400163,103.897269,47.56,19.32,2.94,3.81,1,85%,
