#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery
http://data.flightstream.io/eu/0001/DSC00153.JPG,http://data.flightstream.io/eu/0001/tn/DSC00153.JPG,11.19616,48.085164,619.816,,,,10,100%
http://data.flightstream.io/eu/0001/DSC00154.JPG,http://data.flightstream.io/eu/0001/tn/DSC00154.JPG,11.196118,48.085141,619.424,,,,10,97%
http://data.flightstream.io/eu/0001/DSC00155.JPG,http://data.flightstream.io/eu/0001/tn/DSC00155.JPG,11.196029,48.085161,619.351,,,,9,97%
http://data.flightstream.io/eu/0001/DSC00156.JPG,http://data.flightstream.io/eu/0001/tn/DSC00156.JPG,11.19594,48.08519,619.382,,,,10,96%
http://data.flightstream.io/eu/0001/DSC00157.JPG,http://data.flightstream.io/eu/0001/tn/DSC00157.JPG,11.195863,48.085215,619.651,,,,10,96%
http://data.flightstream.io/eu/0001/DSC00158.JPG,http://data.flightstream.io/eu/0001/tn/DSC00158.JPG,11.195791,48.085256,619.8,,,,10,96%
http://data.flightstream.io/eu/0001/DSC00159.JPG,http://data.flightstream.io/eu/0001/tn/DSC00159.JPG,11.195729,48.085307,619.857,,,,10,96%
http://data.flightstream.io/eu/0001/DSC00160.JPG,http://data.flightstream.io/eu/0001/tn/DSC00160.JPG,11.195679,48.085356,620.180995,,,,10,97%
http://data.flightstream.io/eu/0001/DSC00161.JPG,http://data.flightstream.io/eu/0001/tn/DSC00161.JPG,11.195642,48.085418,620.752,,,,10,95%
http://data.flightstream.io/eu/0001/DSC00162.JPG,http://data.flightstream.io/eu/0001/tn/DSC00162.JPG,11.195628,48.085476,620.396,,,,10,95%
http://data.flightstream.io/eu/0001/DSC00163.JPG,http://data.flightstream.io/eu/0001/tn/DSC00163.JPG,11.195627,48.085541,620.286996,,,,10,95%
http://data.flightstream.io/eu/0001/DSC00164.JPG,http://data.flightstream.io/eu/0001/tn/DSC00164.JPG,11.195651,48.085598,620.787004,,,,10,95%
http://data.flightstream.io/eu/0001/DSC00165.JPG,http://data.flightstream.io/eu/0001/tn/DSC00165.JPG,11.195685,48.085663,621.083004,,,,10,95%
http://data.flightstream.io/eu/0001/DSC00166.JPG,http://data.flightstream.io/eu/0001/tn/DSC00166.JPG,11.195734,48.085709,621.376997,,,,10,95%
http://data.flightstream.io/eu/0001/DSC00167.JPG,http://data.flightstream.io/eu/0001/tn/DSC00167.JPG,11.195796,48.08576,621.252,,,,10,94%
http://data.flightstream.io/eu/0001/DSC00168.JPG,http://data.flightstream.io/eu/0001/tn/DSC00168.JPG,11.195863,48.085801,620.214,,,,10,94%
http://data.flightstream.io/eu/0001/DSC00169.JPG,http://data.flightstream.io/eu/0001/tn/DSC00169.JPG,11.195948,48.085838,619.431002,,,,10,93%
http://data.flightstream.io/eu/0001/DSC00170.JPG,http://data.flightstream.io/eu/0001/tn/DSC00170.JPG,11.196039,48.085866,618.713004,,,,10,93%
http://data.flightstream.io/eu/0001/DSC00171.JPG,http://data.flightstream.io/eu/0001/tn/DSC00171.JPG,11.196138,48.085874,618.596,,,,10,93%
http://data.flightstream.io/eu/0001/DSC00172.JPG,http://data.flightstream.io/eu/0001/tn/DSC00172.JPG,11.196235,48.085873,618.975,,,,9,93%
http://data.flightstream.io/eu/0001/DSC00173.JPG,http://data.flightstream.io/eu/0001/tn/DSC00173.JPG,11.196327,48.08586,619.195,,,,10,91%
